Slide Name,Order,Sample,Species,Organ,Uploaded Name,Relavant_For_Analysis_Y_N
13829$2019-080-9$US$SCAN$OR$001 .svs,13829,2019-080-9,Human,Other,scanned/2021-02-12/13829$2019-080-9$US$SCAN$OR$001 .svs,
13829$2019-080-10$US$SCAN$OR$001 .svs,13829,2019-080-10,Human,Other,scanned/2021-02-12/13829$2019-080-10$US$SCAN$OR$001 .svs,
13829$2019-080-11$US$SCAN$OR$001 .svs,13829,2019-080-11,Human,Other,scanned/2021-02-12/13829$2019-080-11$US$SCAN$OR$001 .svs,
13829$2019-084-1$US$SCAN$OR$001 .svs,13829,2019-084-1,Human,Other,scanned/2021-02-12/13829$2019-084-1$US$SCAN$OR$001 .svs,
13829$2019-084-2$US$SCAN$OR$001 .svs,13829,2019-084-2,Human,Other,scanned/2021-02-12/13829$2019-084-2$US$SCAN$OR$001 .svs,
13829$2019-084-3$US$SCAN$OR$001 .svs,13829,2019-084-3,Human,Other,scanned/2021-02-12/13829$2019-084-3$US$SCAN$OR$001 .svs,
13829$2019-084-4$US$SCAN$OR$001 .svs,13829,2019-084-4,Human,Other,scanned/2021-02-12/13829$2019-084-4$US$SCAN$OR$001 .svs,
13829$2019-084-5$US$SCAN$OR$001 .svs,13829,2019-084-5,Human,Other,scanned/2021-02-12/13829$2019-084-5$US$SCAN$OR$001 .svs,
13829$2019-084-6$US$SCAN$OR$001 .svs,13829,2019-084-6,Human,Other,scanned/2021-02-12/13829$2019-084-6$US$SCAN$OR$001 .svs,
13829$2019-084-8$US$SCAN$OR$001 .svs,13829,2019-084-8,Human,Other,scanned/2021-02-12/13829$2019-084-8$US$SCAN$OR$001 .svs,
13829$2019-084-10$US$SCAN$OR$001 .svs,13829,2019-084-10,Human,Other,scanned/2021-02-12/13829$2019-084-10$US$SCAN$OR$001 .svs,
13829$2019-084-7$US$SCAN$OR$001 .svs,13829,2019-084-7,Human,Other,scanned/2021-02-12/13829$2019-084-7$US$SCAN$OR$001 .svs,
13829$2019-084-9$US$SCAN$OR$001 .svs,13829,2019-084-9,Human,Other,scanned/2021-02-12/13829$2019-084-9$US$SCAN$OR$001 .svs,
13829$2019-084-11$US$SCAN$OR$001 .svs,13829,2019-084-11,Human,Other,scanned/2021-02-12/13829$2019-084-11$US$SCAN$OR$001 .svs,
13829$2019-097-13$US$SCAN$OR$001 .svs,13829,2019-097-13,Human,Other,scanned/2021-02-12/13829$2019-097-13$US$SCAN$OR$001 .svs,
13829$2019-097-12$US$SCAN$OR$001 .svs,13829,2019-097-12,Human,Other,scanned/2021-02-12/13829$2019-097-12$US$SCAN$OR$001 .svs,
13829$2019-084-12$US$SCAN$OR$001 .svs,13829,2019-084-12,Human,Other,scanned/2021-02-12/13829$2019-084-12$US$SCAN$OR$001 .svs,
13829$2019-076-1$US$SCAN$OR$001 .svs,13829,2019-076-1,Human,Other,scanned/2021-02-12/13829$2019-076-1$US$SCAN$OR$001 .svs,
13829$2019-084-13$US$SCAN$OR$001 .svs,13829,2019-084-13,Human,Other,scanned/2021-02-12/13829$2019-084-13$US$SCAN$OR$001 .svs,
13829$2019-076-2$US$SCAN$OR$001 .svs,13829,2019-076-2,Human,Other,scanned/2021-02-12/13829$2019-076-2$US$SCAN$OR$001 .svs,
13829$2019-090-1$US$SCAN$OR$001 .svs,13829,2019-090-1,Human,Other,scanned/2021-02-12/13829$2019-090-1$US$SCAN$OR$001 .svs,
13829$2019-076-3$US$SCAN$OR$001 .svs,13829,2019-076-3,Human,Other,scanned/2021-02-12/13829$2019-076-3$US$SCAN$OR$001 .svs,
