,slidename,order,sample,notes
0,13829$2019-105-9$US$SCAN$OR$001 .svs,13829,2019-105-9,Immuno
0,13829$2019-023-9$US$SCAN$OR$001 .svs,13829,2019-023-9,Immuno
0,13829$2019-023-10$US$SCAN$OR$001 .svs,13829,2019-023-10,Immuno
0,13829$2019-023-11$US$SCAN$OR$001 .svs,13829,2019-023-11,Immuno
0,13829$2019-106-7$US$SCAN$OR$001 .svs,13829,2019-106-7,
0,13829$2019-024-7$US$SCAN$OR$001 .svs,13829,2019-024-7,Pentachrome
0,13829$2019-106-9$US$SCAN$OR$001 .svs,13829,2019-106-9,Immuno
0,13829$2019-106-11$US$SCAN$OR$001 .svs,13829,2019-106-11,Immuno
0,13829$2019-106-10$US$SCAN$OR$001 .svs,13829,2019-106-10,Immuno
0,13829$2019-024-10$US$SCAN$OR$001 .svs,13829,2019-024-10,Immuno
0,13829$2019-024-9$US$SCAN$OR$001 .svs,13829,2019-024-9,Immuno
0,13829$2019-024-8$US$SCAN$OR$001 .svs,13829,2019-024-8,Control
0,13829$2019-024-11$US$SCAN$OR$001 .svs,13829,2019-024-11,Immuno
0,13829$2019-030-7$US$SCAN$OR$001 .svs,13829,2019-030-7,Control
0,13829$2019-030-8$US$SCAN$OR$001 .svs,13829,2019-030-8,Pentachrome
0,13829$2019-025-9$US$SCAN$OR$001 .svs,13829,2019-025-9,Immuno
0,13829$2019-025-8$US$SCAN$OR$001 .svs,13829,2019-025-8,Control
0,13829$2019-025-7$US$SCAN$OR$001 .svs,13829,2019-025-7,Pentachrome
0,13829$2019-025-10$US$SCAN$OR$001 .svs,13829,2019-025-10,Immuno
0,13829$2019-025-11$US$SCAN$OR$001 .svs,13829,2019-025-11,Immuno
0,13829$2020-026-6$US$SCAN$OR$001 .svs,13829,2020-026-6,Poor section
0,13829$2020-026-7$US$SCAN$OR$001 .svs,13829,2020-026-7,Pentachrome
0,13829$2020-026-8$US$SCAN$OR$001 .svs,13829,2020-026-8,Pentachrome
0,13829$2020-026-9$US$SCAN$OR$001 .svs,13829,2020-026-9,Immuno
0,13829$2020-026-10$US$SCAN$OR$001 .svs,13829,2020-026-10,Immuno
0,13829$2020-026-11$US$SCAN$OR$001 .svs,13829,2020-026-11,Immuno
0,13829$2020-008-14$US$SCAN$OR$001 .svs,13829,2020-008-14,Pentachrome
0,13829$2020-020-7$US$SCAN$OR$001 .svs,13829,2020-020-7,Pentachrome
0,13829$2020-020-8$US$SCAN$OR$001 .svs,13829,2020-020-8,Pentachrome
0,13829$2020-020-9$US$SCAN$OR$001 .svs,13829,2020-020-9,Immuno
0,13829$2020-027-8$US$SCAN$OR$001 .svs,13829,2020-027-8,Control
0,13829$2020-027-9$US$SCAN$OR$001 .svs,13829,2020-027-9,Immuno
0,13829$2020-020-10$US$SCAN$OR$001 .svs,13829,2020-020-10,Immuno
0,13829$2020-020-11$US$SCAN$OR$001 .svs,13829,2020-020-11,Immuno
0,13829$2020-027-10$US$SCAN$OR$001 .svs,13829,2020-027-10,Immuno
0,13829$2020-027-17$US$SCAN$OR$001 .svs,13829,2020-027-17,Pentachrome
0,13829$2020-006-8$US$SCAN$OR$001 .svs,13829,2020-006-8,Immuno
0,13829$2020-006-9$US$SCAN$OR$001 .svs,13829,2020-006-9,Pentachrome
0,13829$2019-047-7$US$SCAN$OR$001 .svs,13829,2019-047-7,Pentachrome
0,13829$2019-047-8$US$SCAN$OR$001 .svs,13829,2019-047-8,Control
0,13829$2020-006-10$US$SCAN$OR$001 .svs,13829,2020-006-10,Immuno
0,13829$2019-047-9$US$SCAN$OR$001 .svs,13829,2019-047-9,Immuno
0,13829$2019-047-10$US$SCAN$OR$001 .svs,13829,2019-047-10,Immuno
0,13829$2019-047-11$US$SCAN$OR$001 .svs,13829,2019-047-11,Immuno
0,13829$2020-030-7$US$SCAN$OR$001 .svs,13829,2020-030-7,Pentachrome
0,13829$2020-030-8$US$SCAN$OR$001 .svs,13829,2020-030-8,Immuno
0,13829$2020-030-9$US$SCAN$OR$001 .svs,13829,2020-030-9,Immuno
0,13829$2019-048-7$US$SCAN$OR$001 .svs,13829,2019-048-7,Immuno
0,13829$2020-030-10$US$SCAN$OR$001 .svs,13829,2020-030-10,Immuno
0,13829$2019-048-9$US$SCAN$OR$001 .svs,13829,2019-048-9,Immuno
